Age,Attrition,AttritionRaw,BusinessTravel,DailyRate,Department,DeptCode,DistanceFromHome,Education,EducationField,EducFieldCode,EnvironmentSatisfaction,Gender,GenderCode,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OvertimeDone,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,0,No,Travel_Frequently,721,Research & Development,R&D,1,2,Medical,MED,3,Female,1,58,3,2,Laboratory Technician,4,Single,4011,1,Y,No,23,4,4,0,12,2,3,12,8,3,7
41,1,Yes,Travel_Rarely,1360,Research & Development,R&D,12,3,Technical Degree,O,2,Female,1,49,3,5,Research Director,3,Married,19545,1,Y,No,12,3,4,0,23,0,3,22,15,15,8
34,0,No,Non-Travel,1065,Sales,Sales,23,4,Marketing,O,2,Male,0,72,3,2,Sales Executive,3,Single,4568,0,Y,No,20,4,3,0,10,2,3,9,5,8,7
37,0,No,Travel_Rarely,408,Research & Development,R&D,19,2,Life Sciences,LS,2,Male,0,73,3,1,Research Scientist,2,Married,3022,4,Y,No,21,4,1,0,8,1,3,1,0,0,0
46,0,No,Travel_Frequently,1211,Sales,Sales,5,4,Marketing,O,1,Male,0,98,3,2,Sales Executive,4,Single,5772,4,Y,Yes,21,4,3,0,14,4,3,9,6,0,8
35,0,No,Travel_Rarely,1229,Research & Development,R&D,8,1,Life Sciences,LS,4,Male,0,36,4,1,Laboratory Technician,4,Married,2269,1,Y,No,19,3,4,0,1,2,3,1,0,0,1
48,1,Yes,Travel_Rarely,626,Research & Development,R&D,1,2,Life Sciences,LS,1,Male,0,98,2,3,Laboratory Technician,3,Single,5381,9,Y,Yes,13,3,4,0,23,2,3,1,0,0,0
28,1,Yes,Travel_Rarely,1434,Research & Development,R&D,5,4,Technical Degree,O,3,Male,0,50,3,1,Laboratory Technician,3,Single,3441,1,Y,Yes,13,3,3,0,2,3,2,2,2,2,2
44,0,No,Travel_Rarely,1488,Sales,Sales,1,5,Marketing,O,2,Female,1,75,3,2,Sales Executive,1,Divorced,5454,5,Y,Yes,21,4,3,1,9,2,2,4,3,1,3
35,0,No,Non-Travel,1097,Research & Development,R&D,11,2,Medical,MED,3,Male,0,79,2,3,Healthcare Representative,1,Married,9884,2,Y,Yes,13,3,3,1,10,3,3,4,0,2,3
26,0,No,Travel_Rarely,1443,Sales,Sales,23,3,Marketing,O,3,Female,1,47,2,2,Sales Executive,4,Married,4157,7,Y,Yes,19,3,3,1,5,2,2,2,2,0,0
33,0,No,Travel_Frequently,515,Research & Development,R&D,1,2,Life Sciences,LS,1,Female,1,98,3,3,Research Director,4,Single,13458,1,Y,Yes,12,3,3,0,15,1,3,15,14,8,12
35,0,No,Travel_Frequently,853,Sales,Sales,18,5,Life Sciences,LS,2,Male,0,71,3,3,Sales Executive,1,Married,9069,1,Y,No,22,4,4,1,9,3,2,9,8,1,8
35,0,No,Travel_Rarely,1142,Research & Development,R&D,23,4,Medical,MED,3,Female,1,30,3,1,Laboratory Technician,1,Married,4014,3,Y,Yes,15,3,3,1,4,3,3,2,2,2,2
31,0,No,Travel_Rarely,655,Research & Development,R&D,7,4,Life Sciences,LS,4,Male,0,48,3,2,Laboratory Technician,4,Divorced,5915,3,Y,No,22,4,4,1,10,3,2,7,7,1,7
37,0,No,Travel_Rarely,1115,Research & Development,R&D,1,4,Life Sciences,LS,1,Male,0,51,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,1,7,2,4,7,5,0,7
32,0,No,Travel_Rarely,427,Research & Development,R&D,1,3,Medical,MED,1,Male,0,33,3,2,Manufacturing Director,4,Married,6162,1,Y,Yes,22,4,2,1,9,3,3,9,8,7,8
38,0,No,Travel_Frequently,653,Research & Development,R&D,29,5,Life Sciences,LS,4,Female,1,50,3,2,Laboratory Technician,4,Single,2406,1,Y,No,11,3,4,0,10,2,3,10,3,9,9
50,0,No,Travel_Rarely,989,Research & Development,R&D,7,2,Medical,MED,2,Female,1,43,2,5,Research Director,3,Divorced,18740,5,Y,Yes,12,3,4,1,29,2,2,27,3,13,8
59,0,No,Travel_Rarely,1435,Sales,Sales,25,3,Life Sciences,LS,1,Female,1,99,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,0,28,3,2,21,16,7,9
36,0,No,Travel_Rarely,1223,Research & Development,R&D,8,3,Technical Degree,O,3,Female,1,59,3,3,Healthcare Representative,3,Divorced,10096,1,Y,No,13,3,2,3,17,2,3,17,14,12,8
55,0,No,Travel_Rarely,836,Research & Development,R&D,8,3,Medical,MED,4,Female,1,33,3,4,Manager,3,Divorced,14756,2,Y,Yes,14,3,3,3,21,2,3,5,0,0,2
36,0,No,Travel_Frequently,1195,Research & Development,R&D,11,3,Life Sciences,LS,2,Male,0,95,2,2,Manufacturing Director,2,Single,6499,1,Y,No,13,3,3,0,6,3,3,6,5,0,3
45,0,No,Travel_Rarely,1339,Research & Development,R&D,7,3,Life Sciences,LS,2,Male,0,59,3,3,Research Scientist,1,Divorced,9724,2,Y,No,17,3,3,1,25,2,3,1,0,0,0
35,0,No,Travel_Frequently,664,Research & Development,R&D,1,3,Medical,MED,2,Male,0,79,3,1,Research Scientist,1,Married,2194,4,Y,No,13,3,4,1,5,2,2,3,2,1,2
36,1,Yes,Travel_Rarely,318,Research & Development,R&D,9,3,Medical,MED,4,Male,0,79,2,1,Research Scientist,3,Married,3388,0,Y,Yes,17,3,1,1,2,0,2,1,0,0,0
59,0,No,Travel_Frequently,1225,Sales,Sales,1,1,Life Sciences,LS,1,Female,1,57,2,2,Sales Executive,3,Single,5473,7,Y,No,11,3,4,0,20,2,2,4,3,1,3
29,0,No,Travel_Rarely,1328,Research & Development,R&D,2,3,Life Sciences,LS,3,Male,0,76,3,1,Research Scientist,2,Married,2703,0,Y,No,23,4,4,1,6,3,3,5,4,0,4
31,0,No,Travel_Rarely,1082,Research & Development,R&D,1,4,Medical,MED,3,Male,0,87,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,0,1,4,3,1,1,1,0
32,0,No,Travel_Rarely,548,Research & Development,R&D,1,3,Life Sciences,LS,2,Male,0,66,3,2,Research Scientist,2,Married,6220,1,Y,No,17,3,2,2,10,3,3,10,4,0,9
36,0,No,Travel_Rarely,132,Research & Development,R&D,6,3,Life Sciences,LS,2,Female,1,55,4,1,Laboratory Technician,4,Married,3038,3,Y,No,12,3,2,0,5,3,3,1,0,0,0
31,0,No,Travel_Rarely,746,Research & Development,R&D,8,4,Life Sciences,LS,3,Female,1,61,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,4,0,11,2,3,11,7,1,8
35,0,No,Travel_Rarely,776,Sales,Sales,1,4,Marketing,O,3,Male,0,32,2,2,Sales Executive,1,Single,4312,0,Y,No,14,3,2,0,16,2,3,15,13,2,8
45,0,No,Travel_Rarely,193,Research & Development,R&D,6,4,Other,O,4,Male,0,52,3,3,Research Director,1,Married,13245,4,Y,Yes,14,3,2,0,17,3,4,0,0,0,0
37,0,No,Travel_Rarely,397,Research & Development,R&D,7,4,Medical,MED,1,Male,0,30,3,3,Research Director,3,Single,13664,4,Y,No,13,3,1,0,16,3,4,5,2,0,2
46,0,No,Travel_Rarely,945,Human Resources,HR,5,2,Medical,MED,2,Male,0,80,3,2,Human Resources,2,Divorced,5021,8,Y,Yes,22,4,4,1,16,2,3,4,2,0,2
30,0,No,Travel_Rarely,852,Research & Development,R&D,1,1,Life Sciences,LS,4,Male,0,55,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,2,10,1,2,10,8,3,0
35,0,No,Travel_Rarely,1214,Research & Development,R&D,1,3,Medical,MED,2,Male,0,30,2,1,Research Scientist,3,Single,2859,1,Y,No,18,3,1,0,6,3,3,6,4,0,4
55,0,No,Travel_Rarely,111,Sales,Sales,1,2,Life Sciences,LS,1,Male,0,70,3,3,Sales Executive,4,Married,10239,3,Y,No,14,3,4,1,24,4,3,1,0,1,0
38,0,No,Non-Travel,573,Research & Development,R&D,6,3,Medical,MED,2,Female,1,79,1,2,Research Scientist,4,Divorced,5329,7,Y,Yes,12,3,4,3,17,3,3,13,11,1,9
34,0,No,Travel_Rarely,1153,Research & Development,R&D,1,2,Medical,MED,1,Male,0,94,3,2,Manufacturing Director,2,Married,4325,1,Y,No,15,3,3,0,5,2,3,5,2,1,3
56,0,No,Travel_Rarely,1400,Research & Development,R&D,7,3,Life Sciences,LS,4,Male,0,49,1,3,Manufacturing Director,4,Single,7260,4,Y,No,11,3,1,0,37,3,2,6,4,0,2
23,0,No,Travel_Rarely,541,Sales,Sales,2,1,Technical Degree,O,3,Male,0,62,3,1,Sales Representative,1,Divorced,2322,3,Y,No,13,3,3,1,3,3,3,0,0,0,0
51,0,No,Travel_Rarely,432,Research & Development,R&D,9,4,Life Sciences,LS,4,Male,0,96,3,1,Laboratory Technician,4,Married,2075,3,Y,No,23,4,2,2,10,4,3,4,2,0,3
30,0,No,Travel_Rarely,288,Research & Development,R&D,2,3,Life Sciences,LS,3,Male,0,99,2,2,Healthcare Representative,4,Married,4152,1,Y,No,19,3,1,3,11,3,3,11,10,10,8
46,1,Yes,Travel_Rarely,669,Sales,Sales,9,2,Medical,MED,3,Male,0,64,2,3,Sales Executive,4,Single,9619,1,Y,No,16,3,4,0,9,3,3,9,8,4,7
40,0,No,Travel_Frequently,530,Research & Development,R&D,1,4,Life Sciences,LS,3,Male,0,78,2,4,Healthcare Representative,2,Married,13503,1,Y,No,22,4,4,1,22,3,2,22,3,11,11
51,0,No,Travel_Rarely,632,Sales,Sales,21,4,Marketing,O,3,Male,0,71,3,2,Sales Executive,4,Single,5441,0,Y,Yes,22,4,4,0,11,2,1,10,7,1,0
30,0,No,Travel_Rarely,1334,Sales,Sales,4,2,Medical,MED,3,Female,1,63,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7
46,0,No,Travel_Frequently,638,Research & Development,R&D,1,3,Medical,MED,3,Male,0,40,2,3,Healthcare Representative,1,Married,10673,2,Y,Yes,13,3,3,1,21,5,2,10,9,9,5
32,0,No,Travel_Rarely,1093,Sales,Sales,6,4,Medical,MED,2,Male,0,87,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,0,12,0,3,11,8,5,7
54,0,No,Travel_Rarely,1217,Research & Development,R&D,2,4,Technical Degree,O,1,Female,1,60,3,3,Research Director,3,Married,13549,9,Y,No,12,3,1,1,16,5,1,4,3,0,3
24,0,No,Travel_Rarely,1353,Sales,Sales,3,2,Other,O,1,Female,1,33,3,2,Sales Executive,3,Married,4999,0,Y,No,21,4,1,1,4,2,2,3,2,0,2
28,0,No,Non-Travel,120,Sales,Sales,4,3,Medical,MED,2,Male,0,43,3,2,Sales Executive,3,Married,4221,1,Y,No,15,3,2,0,5,3,4,5,4,0,4
58,0,No,Travel_Rarely,682,Sales,Sales,10,4,Medical,MED,4,Male,0,37,3,4,Sales Executive,3,Single,13872,0,Y,No,13,3,3,0,38,1,2,37,10,1,8
44,0,No,Non-Travel,489,Research & Development,R&D,23,3,Medical,MED,2,Male,0,67,3,2,Laboratory Technician,2,Married,2042,4,Y,No,12,3,3,1,17,3,4,3,2,1,2
37,1,Yes,Travel_Rarely,807,Human Resources,HR,6,4,Human Resources,O,3,Male,0,63,3,1,Human Resources,1,Divorced,2073,4,Y,Yes,22,4,4,0,7,3,3,3,2,0,2
32,0,No,Travel_Rarely,827,Research & Development,R&D,1,1,Life Sciences,LS,4,Male,0,71,3,1,Research Scientist,1,Single,2956,1,Y,No,13,3,4,0,1,2,3,1,0,0,0
20,1,Yes,Travel_Frequently,871,Research & Development,R&D,6,3,Life Sciences,LS,4,Female,1,66,2,1,Laboratory Technician,4,Single,2926,1,Y,Yes,18,3,2,0,1,5,3,1,0,1,0
34,0,No,Travel_Rarely,665,Research & Development,R&D,6,4,Other,O,1,Female,1,41,3,2,Research Scientist,3,Single,4809,1,Y,No,14,3,3,0,16,3,3,16,13,2,10
37,0,No,Non-Travel,1040,Research & Development,R&D,2,2,Life Sciences,LS,3,Male,0,100,2,2,Healthcare Representative,4,Divorced,5163,5,Y,No,14,3,4,1,17,2,4,1,0,0,0
59,0,No,Non-Travel,1420,Human Resources,HR,2,4,Human Resources,O,3,Female,1,32,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,1,30,3,3,3,2,2,2
50,0,No,Travel_Frequently,1115,Research & Development,R&D,1,3,Life Sciences,LS,1,Female,1,73,3,5,Research Director,2,Married,18172,3,Y,Yes,19,3,1,0,28,1,2,8,3,0,7
25,1,Yes,Travel_Rarely,240,Sales,Sales,5,3,Marketing,O,3,Male,0,46,2,2,Sales Executive,3,Single,5744,1,Y,Yes,11,3,4,0,6,1,3,6,4,0,3
25,0,No,Travel_Rarely,1280,Research & Development,R&D,7,1,Medical,MED,4,Male,0,64,2,1,Research Scientist,4,Married,2889,1,Y,No,11,3,3,2,2,2,3,2,2,2,1
22,0,No,Travel_Rarely,534,Research & Development,R&D,15,3,Medical,MED,2,Female,1,59,3,1,Laboratory Technician,4,Single,2871,1,Y,No,15,3,3,0,1,5,3,0,0,0,0
51,0,No,Travel_Frequently,1456,Research & Development,R&D,1,4,Medical,MED,1,Female,1,30,2,3,Healthcare Representative,1,Single,7484,3,Y,No,20,4,3,0,23,1,2,13,12,12,8
34,1,Yes,Travel_Frequently,658,Research & Development,R&D,7,3,Life Sciences,LS,1,Male,0,66,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,0,9,3,3,9,7,0,6
54,0,No,Non-Travel,142,Human Resources,HR,26,3,Human Resources,O,4,Female,1,30,4,4,Manager,4,Single,17328,2,Y,Yes,12,3,3,0,23,3,3,5,3,4,4
24,0,No,Travel_Rarely,1127,Research & Development,R&D,18,1,Life Sciences,LS,2,Male,0,52,3,1,Laboratory Technician,3,Married,2774,0,Y,No,12,3,3,1,6,2,3,5,3,1,2
34,0,No,Travel_Rarely,1031,Research & Development,R&D,6,4,Life Sciences,LS,3,Female,1,45,2,2,Research Scientist,2,Divorced,4505,6,Y,No,15,3,3,1,12,3,3,1,0,0,0
37,0,No,Travel_Rarely,1189,Sales,Sales,3,3,Life Sciences,LS,3,Male,0,87,3,3,Sales Executive,4,Single,7428,2,Y,No,12,3,1,0,12,3,3,5,3,1,3
34,0,No,Travel_Rarely,1354,Research & Development,R&D,5,3,Medical,MED,3,Female,1,45,2,3,Manager,1,Single,11631,2,Y,No,12,3,4,0,14,6,3,11,10,5,8
36,0,No,Travel_Frequently,1467,Sales,Sales,11,2,Technical Degree,O,2,Female,1,92,3,3,Sales Executive,4,Married,9738,0,Y,No,14,3,3,1,10,6,3,9,7,2,8
36,0,No,Travel_Rarely,922,Research & Development,R&D,3,2,Life Sciences,LS,1,Female,1,39,3,1,Laboratory Technician,4,Divorced,2835,5,Y,No,22,4,1,1,7,2,3,1,0,0,0
43,0,No,Travel_Frequently,394,Sales,Sales,26,2,Life Sciences,LS,3,Male,0,92,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,2,25,3,4,25,12,4,12
30,0,No,Travel_Frequently,1312,Research & Development,R&D,23,3,Life Sciences,LS,1,Male,0,96,1,1,Research Scientist,3,Divorced,2613,1,Y,No,25,4,3,3,10,2,2,10,7,0,9
33,0,No,Non-Travel,750,Sales,Sales,22,2,Marketing,O,3,Male,0,95,3,2,Sales Executive,2,Married,6146,0,Y,No,13,3,1,1,8,2,4,7,7,0,7
56,1,Yes,Travel_Rarely,441,Research & Development,R&D,14,4,Life Sciences,LS,2,Female,1,72,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,3,7,2,3,5,4,4,3
51,0,No,Travel_Rarely,684,Research & Development,R&D,6,3,Life Sciences,LS,1,Male,0,51,3,5,Research Director,3,Single,19537,7,Y,No,13,3,3,0,23,5,3,20,18,15,15
31,1,Yes,Travel_Rarely,249,Sales,Sales,6,4,Life Sciences,LS,2,Male,0,76,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,0,12,3,2,7,7,7,7
26,0,No,Travel_Rarely,841,Research & Development,R&D,6,3,Other,O,3,Female,1,46,2,1,Research Scientist,2,Married,2368,1,Y,No,19,3,3,0,5,3,2,5,4,4,3
58,1,Yes,Travel_Rarely,147,Research & Development,R&D,23,4,Medical,MED,4,Female,1,94,3,3,Healthcare Representative,4,Married,10312,1,Y,No,12,3,4,1,40,3,2,40,10,15,6
19,1,Yes,Travel_Rarely,528,Sales,Sales,22,1,Marketing,O,4,Male,0,50,3,1,Sales Representative,3,Single,1675,1,Y,Yes,19,3,4,0,0,2,2,0,0,0,0
22,0,No,Travel_Rarely,594,Research & Development,R&D,2,1,Technical Degree,O,3,Male,0,100,3,1,Laboratory Technician,4,Married,2523,0,Y,No,14,3,3,1,3,2,3,2,1,2,1
49,0,No,Travel_Rarely,470,Research & Development,R&D,20,4,Medical,MED,3,Female,1,96,3,2,Manufacturing Director,1,Married,6567,1,Y,No,14,3,3,0,16,2,2,15,11,5,11
43,0,No,Travel_Frequently,957,Research & Development,R&D,28,3,Medical,MED,2,Female,1,72,4,1,Research Scientist,3,Single,4739,4,Y,No,12,3,4,0,18,2,3,3,2,1,2
50,0,No,Travel_Frequently,809,Sales,Sales,12,3,Marketing,O,3,Female,1,77,3,3,Sales Executive,4,Single,9208,4,Y,No,11,3,4,0,16,3,3,2,2,2,1
31,1,Yes,Travel_Rarely,542,Sales,Sales,20,3,Life Sciences,LS,2,Female,1,71,1,2,Sales Executive,3,Married,4559,3,Y,Yes,11,3,3,1,4,2,3,2,2,2,2
41,0,No,Travel_Rarely,802,Sales,Sales,9,1,Life Sciences,LS,3,Male,0,96,3,3,Sales Executive,3,Divorced,8189,3,Y,Yes,13,3,3,1,12,2,3,9,7,0,7
26,0,No,Travel_Rarely,1355,Human Resources,HR,25,1,Life Sciences,LS,3,Female,1,61,3,1,Human Resources,3,Married,2942,1,Y,No,23,4,4,1,8,3,3,8,7,5,7
36,0,No,Travel_Rarely,216,Research & Development,R&D,6,2,Medical,MED,2,Male,0,84,3,2,Manufacturing Director,2,Divorced,4941,6,Y,No,20,4,4,2,7,0,3,3,2,0,1
51,1,Yes,Travel_Frequently,1150,Research & Development,R&D,8,4,Life Sciences,LS,1,Male,0,53,1,3,Manufacturing Director,4,Single,10650,2,Y,No,15,3,4,0,18,2,3,4,2,0,3
